["port 1","LEFT"]
["port 2","LEFT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9374087598250000e+14 1.6847573532199510e-03 3.1201241281018094e-01
1.9386578950666666e+14 1.6855889641847167e-03 3.3902614498291345e-01
1.9399070303083331e+14 1.6773444935363716e-03 3.6399085850400509e-01
1.9411561655500000e+14 1.6610186635585263e-03 3.8588883657067274e-01
1.9424053007916666e+14 1.6380223151373715e-03 4.0376581539759510e-01
1.9436544360333331e+14 1.6101485728890479e-03 4.1677347616557681e-01
1.9449035712750000e+14 1.5795133823301888e-03 4.2423706051993848e-01
1.9461527065166666e+14 1.5484604538328927e-03 4.2574806760319117e-01
1.9474018417583331e+14 1.5194217253510973e-03 4.2127255613013298e-01
1.9486509770000000e+14 1.4947306733799444e-03 4.1125124927192913e-01
1.9499001122416666e+14 1.4778169568923575e-03 3.9657874674614429e-01
1.9511492474833331e+14 1.4687292048024441e-03 3.7882526940237116e-01
1.9523983827250000e+14 1.4681856585149334e-03 3.5980357731893164e-01
1.9536475179666666e+14 1.4760631277382639e-03 3.4142066783867336e-01
1.9548966532083331e+14 1.4914192015334298e-03 3.2540306430202059e-01
1.9561457884500000e+14 1.5126310112345746e-03 3.1306963385530323e-01
1.9573949236916666e+14 1.5376134534869602e-03 3.0520603949789765e-01
1.9586440589333331e+14 1.5640660241539911e-03 3.0204926615796496e-01
1.9598931941750000e+14 1.5897047438540211e-03 3.0335316416392283e-01
1.9611423294166666e+14 1.6124542168086766e-03 3.0849275901898449e-01
1.9623914646583331e+14 1.6319701444492325e-03 3.1657760297555426e-01
1.9636405999000000e+14 1.6456130788052006e-03 3.2651334603081722e-01
1.9648897351416666e+14 1.6526440765687093e-03 3.3712048209930695e-01
1.9661388703833331e+14 1.6528937544805535e-03 3.4717551246602779e-01
1.9673880056250000e+14 1.6467844569576467e-03 3.5546204149211363e-01
1.9686371408666666e+14 1.6353305610993052e-03 3.6082737297387385e-01
1.9698862761083331e+14 1.6201113841818259e-03 3.6225586633190693e-01
1.9711354113500000e+14 1.6032060931924681e-03 3.5896705695393294e-01
1.9723845465916666e+14 1.5870764823164931e-03 3.5053832612298907e-01
1.9736336818333331e+14 1.5743844592244613e-03 3.3703684008236334e-01
1.9748828170750000e+14 1.5690728417376292e-03 3.1913157660647068e-01
1.9761319523166666e+14 1.5720672155571233e-03 2.9813780936041068e-01
1.9773810875583331e+14 1.5849612012756686e-03 2.7586853569229669e-01
1.9786302228000000e+14 1.6084426050502138e-03 2.5442109947366837e-01
1.9798793580416666e+14 1.6421772785747859e-03 2.3586156818301990e-01
1.9811284932833331e+14 1.6848501685945703e-03 2.2192153018712130e-01
1.9823776285250000e+14 1.7343434432393217e-03 2.1379461382885911e-01
1.9836267637666666e+14 1.7879951156681742e-03 2.1206925173971347e-01
1.9848758990083331e+14 1.8428746443470965e-03 2.1677723949319377e-01
1.9861250342500000e+14 1.8960293287633948e-03 2.2750731426223739e-01
1.9873741694916666e+14 1.9459641466759705e-03 2.4359011168041053e-01
1.9886233047333331e+14 1.9889409641494177e-03 2.6401390832555593e-01
1.9898724399750000e+14 2.0229178362211899e-03 2.8772840210938638e-01
1.9911215752166666e+14 2.0463407634300382e-03 3.1361973594997739e-01
1.9923707104583331e+14 2.0581924409504683e-03 3.4053930765509582e-01
1.9936198457000000e+14 2.0580268199896028e-03 3.6731667702483217e-01
1.9948689809416666e+14 2.0459936551554259e-03 3.9276449663346896e-01
1.9961181161833331e+14 2.0228544887277802e-03 4.1568330974682288e-01
1.9973672514250000e+14 1.9899887067659737e-03 4.3487462481626821e-01
1.9986163866666666e+14 1.9493848803473206e-03 4.4917199997447904e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(101, 3)
1.8737028625000000e+14 3.0233028610817960e-03 1.4011226560723999e+00
1.8749519977416666e+14 2.9074834697077351e-03 1.6337195377161076e+00
1.8762011329833334e+14 2.7803912284133227e-03 1.8665165385727125e+00
1.8774502682250000e+14 2.6433017452820694e-03 2.0995244489287375e+00
1.8786994034666666e+14 2.4974872837465129e-03 2.3327374558768779e+00
1.8799485387083334e+14 2.3442018516469797e-03 2.5661312404151304e+00
1.8811976739500000e+14 2.1846655053260021e-03 2.7996605188471717e+00
1.8824468091916666e+14 2.0200484204946530e-03 3.0332553334929866e+00
1.8836959444333334e+14 1.8514555862304133e-03 3.2668149391186407e+00
1.8849450796750000e+14 1.6799131693659300e-03 3.5001972840169278e+00
1.8861942149166666e+14 1.5063576581904278e-03 3.7332003852541709e+00
1.8874433501583334e+14 1.3316161880632181e-03 3.9655019572056291e+00
1.8886924854000000e+14 1.1564374738017448e-03 4.1966727095097669e+00
1.8899416206416666e+14 9.8147042392506163e-04 4.4259627803912096e+00
1.8911907558833334e+14 8.0728169169389061e-04 4.6520213546569398e+00
1.8924398911250000e+14 6.3438469991203793e-04 4.8721027281692590e+00
1.8936890263666666e+14 4.6331635851517243e-04 5.0795594064728498e+00
1.8949381616083334e+14 2.9493544487708279e-04 5.2529683427248433e+00
1.8961872968500000e+14 1.3282627138274766e-04 5.2674717616236491e+00
1.8974364320916666e+14 6.7393639950052406e-05 3.6349218564761379e+00
1.8986855673333334e+14 2.1294673342809985e-04 3.2449563712550238e+00
1.8999347025750000e+14 3.7082112463608961e-04 3.3772118242210936e+00
1.9011838378166666e+14 5.2751247636270183e-04 3.5728465588262877e+00
1.9024329730583334e+14 6.8166897821616646e-04 3.7877293271106298e+00
1.9036821083000000e+14 8.3279904658316013e-04 4.0108471641689079e+00
1.9049312435416666e+14 9.8057941182573614e-04 4.2381660500423228e+00
1.9061803787833334e+14 1.1247311152866762e-03 4.4678652459433117e+00
1.9074295140250000e+14 1.2649869951578678e-03 4.6990108959816865e+00
1.9086786492666666e+14 1.4010824741394455e-03 4.9310853260026590e+00
1.9099277845083334e+14 1.5327539434319391e-03 5.1637906263601234e+00
